BTC,bitcoin
ETH,ethereum
BNB,binancecoin
XRP,xrp
ADA,cardano
SOL,solana
DOT,polkadot
DOGE,dogecoin
SHIB,shiba-inu
MATIC,matic-network
LTC,litecoin
LINK,chainlink
TRX,tron
BCH,bitcoin-cash
AVAX,avalanche-2
UNI,uniswap
XLM,stellar
FIL,filcoin
VET,vechain
ETC,ethereum-classic
ALGO,algorand
ICP,internet-computer
SAND,the-sandbox
MANA,mana
FIDA,fida
AAVE,aave
BAT,brave-new-token
DASH,dash
ZEC,zcash
HNT,human-network-token
MKR,maker
COMP,compound
CRV,curve-dao-token
KSM,karura
ZIL,zilliqa
WAVES,waves
REN,ren
1INCH,1inch
SUSHI,sushi
QTUM,qtum
HBAR,hedera-hashgraph
XEM,nem
GRT,the-graph
LDO,liquid-staking-derivative
KAVA,kava
DGB,digibyte
STMX,storm
NANO,nano
STPT,standard-tokenization-protocol
CVC,civic
MTL,metal
WTC,waltonchain
COTI,coti
STX,stacks
XYO,xyO
SRM,serum
CTSI,cartesi
OCEAN,ocean-protocol
FET,fetch-ai
FLOKI,floki-inu
FET,fetch-ai
STPT,standard-tokenization-protocol
LEND,aave
SAND,the-sandbox
COTI,coti
NKN,nkn
MATIC,matic-network
HNT,human-network-token
MANA,mana
FIDA,fida
XDC,xdc-network
BTT,bit-torrent
WTC,waltonchain
